call,final_score,class,total_qsos,power_multiplier,gota_call,section,number_of_participants,club_name,transmitters,year,power_source,total_cw_qsos,total_digital_qsos,total_phone_qsos,bonus_points,checklog_y_n,x17
AA0A,1444,1D,722,2,NA,MO,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AA0T,360,1B2B,25,5,NA,SC,2,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AA1K,418,1C,67,2,NA,DE,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AA1PL,3908,2B2,1041,2,NA,RI,2,NA,2,2010,NA,NA,NA,NA,NA,NA,NA
AA2GV,1014,6AC,199,2,NA,WNY,16,NA,6,2010,NA,NA,NA,NA,NA,NA,NA
AA2JT,62,1D,6,2,NA,NNJ,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AA2JZ,766,1D,200,2,NA,NFL,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AA3B,8558,1E,2077,2,NA,EPA,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AA3DC,968,3A,261,2,NA,MDC,15,Capital City ARS,3,2010,NA,NA,NA,NA,NA,NA,NA
AA3E,5254,2F,1914,2,WM3L,EPA,6,Montgomery Cty ARES/RACES,2,2010,NA,NA,NA,NA,NA,NA,NA
AA4NJ,8438,7A,2501,2,KE4YVD,KY,21,Central KY ARS,7,2010,NA,NA,NA,NA,NA,NA,NA
AA5AR,1370,2F,335,2,N5NTI,AR,24,Amateur Radio Klub of Arkansas Northwest,2,2010,NA,NA,NA,NA,NA,NA,NA
AA5CK,2730,1B1B,261,5,NA,OK,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AA5RO,1780,5AB,91,5,W5QS,STX,67,Alamo Area Radio Organization,5,2010,NA,NA,NA,NA,NA,NA,NA
AA6DP,3224,1C,808,2,NA,LAX,4,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AA6EE,380,1D,95,2,NA,SDG,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AA6LAC,132,1D,33,2,NA,SB,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AA6PW,7956,2B2,2229,2,NA,LAX,2,NA,2,2010,NA,NA,NA,NA,NA,NA,NA
AA7SM,784,2A,217,2,NA,UT,3,Marshall Radio,2,2010,NA,NA,NA,NA,NA,NA,NA
AA8BV,2344,2A,603,2,NA,OH,4,North Coast Contest Club,2,2010,NA,NA,NA,NA,NA,NA,NA
AA8DN,204,1D,77,2,NA,OH,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AA8IA,1324,1D,355,2,NA,OH,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AA9NF,740,1EB,69,5,NA,IL,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AA9UF,728,1E,160,2,NA,IL,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AA9WJ,674,1D,206,2,NA,IN,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AB0DK/2,98,1B1C,31,2,NA,WNY,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AB0LJ,58,1D,4,2,NA,MO,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AB0PC,402,1A,21,2,NA,CO,5,Park Cty  RC,1,2010,NA,NA,NA,NA,NA,NA,NA
AB0RA,672,1F,101,2,NA,KS,20,Southern Plains AR Klub,1,2010,NA,NA,NA,NA,NA,NA,NA
AB0RX,2210,1B1,711,2,NA,MO,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AB0YM,402,1C,53,2,NA,CO,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AB1BW,274,1D,68,2,NA,CT,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AB1HL,374,1D,81,2,NA,EMA,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AB1MI,670,1B1B,74,5,NA,NH,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AB2DE,1288,2E,477,2,NA,NNJ,4,NA,2,2010,NA,NA,NA,NA,NA,NA,NA
AB2WS,60,1D,5,2,NA,ENY,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AB4EL,680,1B1B,53,5,NA,NC,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AB4KE,1968,6AC,563,2,NA,GA,47,LaGrange ARC,6,2010,NA,NA,NA,NA,NA,NA,NA
AB5IS,2078,3F,623,2,NA,LA,14,ARC of Central Louisiana,3,2010,NA,NA,NA,NA,NA,NA,NA
AB5JR,460,1E,105,2,NA,NM,1,NA,1,2010,NA,NA,NA,NA,NA,NA,NA
AB6MV,1900,2A,385,2,KI6SOT,ORG,30,Moreno Valler ARA,2,2010,NA,NA,NA,NA,NA,NA,NA
