call,final_score,class,total_qsos,power_multiplier,gota_call,section,number_of_participants,club_name,transmitters
AA1K,4050,1C,390,5,NA,DE,1,NA,1
AA1PL,1500,1B1B,136,5,NA,RI,1,NA,1
AA1PR,288,1D,144,2,NA,VT,1,NA,1
AA2BJ,3542,1D,1006,2,NA,EPA,2,NA,1
AA2DC,8416,2E,2812,2,NA,NLI,3,NA,2
AA2JZ,750,1E,150,2,NA,NFL,1,NA,1
AA3B,8846,1E,2149,2,NA,EPA,1,NA,1
AA3DC,810,3A,210,2,NA,MDC,9,Capital City ARS,3
AA4GA,1460,1E,136,5,NA,GA,1,NA,1
AA4JI,1620,1B1B,264,5,NA,TN,1,NA,1
AA4LR,1496,1E,363,2,NA,GA,1,NA,1
AA4P,1306,3AC,268,2,NA,GA,31,Colquitt Co Ham Radio Soc,3
AA4TA,1998,6A,533,2,W4CHM,TN,10,Clarksville Operating Radio Enthusiasts,6
AA5AR,6734,3AC,1579,2,NW5AR,AR,15,AR Klub of the AR NW,3
AA5CK,2870,1B1B,260,5,NA,OK,1,NA,1
AA5VU,582,1D,137,2,NA,STX,1,NA,1
AA6CV,4900,16A,871,2,NA,SB,70,Conejo Valley ARC,16
AA6EE,424,1D,106,2,NA,SDG,1,NA,1
AA6TS,94,1D,22,2,NA,SDG,1,NA,1
AA8BV,1458,3A,424,2,NA,OH,4,Not Quite Workable FD Group,3
AA8IA,394,1D,100,2,NA,OH,1,NA,1
AA8N,124,1D,37,2,NA,MI,1,NA,1
AA8OY,930,1B1B,68,5,NA,OH,1,NA,1
AA8V,1040,1E,210,2,NA,MDC,1,NA,1
AAØA,506,1D,506,1,NA,MO,1,NA,1
AAØBQ,1600,1B1B,135,5,NA,MN,1,NA,1
AAØLV,138,1D,44,2,NA,KS,1,NA,1
AAØMN,802,1A,182,2,NA,MN,6,Minnesota AR Technical Society,1
AAØPO,1188,1E,1138,1,NA,MO,1,NA,1
AAØW,320,1E,55,2,NA,NE,1,NA,1
AB2ZO,258,1D,27,2,NA,ENY,1,NA,1
AB3AP,940,1B1B,79,5,NA,EPA,1,NA,1
AB3KC,416,1A,123,2,NA,MDC,3,Tres Hermanos,1
AB3RU,630,1B1B,48,5,NA,WPA,1,NA,1
AB4KE,3890,5A,995,2,AD4GS,GA,40,LaGrange ARC,5
AB5ER,7430,2F,1795,2,N5HU,AR,51,NA,2
AB5J,672,2AC,11,2,NA,OK,3,Frank Phillips Memorial Rep Assn,2
AB6MV,1584,3A,233,2,KK6CXA,ORG,23,Moreno Valley ARA,3
AB6S,1184,1B1,517,2,NA,SJV,1,NA,1
AB7HP,3192,11A,486,2,W7VOI,ID,55,Hewlett Packard Boise ARC & Voice of Idaho ARC,11
AB8I,3032,3F,685,2,K8BRY,MI,17,NA,3
AB8VV,902,3AC,168,2,NA,MI,3,NA,3
AB8XX,290,1B1B,5,5,NA,OH,1,NA,1
AB9CA/4,3206,1B1,739,2,NA,AL,1,NA,1
AB9PN,1754,2A,351,2,NA,WI,3,NA,2
ABØOA,356,1D,178,2,NA,MO,1,NA,1
AC1L,2418,2A,552,2,KB1MSU,WMA,28,Franklin Co ARC,2
AC2EV,110,1D,30,2,NA,WNY,1,NA,1
AC2GD,434,1B1,42,2,NA,NLI,1,NA,1
AC2HJ,410,1B1B,26,5,NA,WNY,1,NA,1
AC2JO,208,1C,29,2,NA,NC,1,NA,1
AC3V,1375,1AB,142,5,NA,EPA,3,Mountain Eagles,1
AC4RF,354,1E,102,2,NA,NC,2,NA,1
AC4YD,1512,3A,433,2,NA,KY,14,Winchester Pioneer ARC,3
AC5VF,56,1B1C,3,2,NA,NTX,1,NA,1
AC6P,1420,2A,405,2,NA,SCV,23,UCSC ARC,2
AC6TU,150,1D,25,2,NA,LAX,1,NA,1
AC7CJ,486,1B1,18,2,NA,EWA,1,NA,1
AC7KY,372,1AC,111,2,NA,STX,8,NA,1
AC7QJ,445,1B1B,39,5,NA,UT,1,NA,1
AC7U,3432,3A,1005,2,NA,AZ,7,NA,3
AC8AI,68,1C,9,2,NA,IN,1,NA,1
AC8GS,490,1B2B,28,5,NA,OH,2,NA,1
AC8IE,1606,4A,316,2,NA,OH,25,NA,4
AC8OE,145,1E,19,5,NA,WV,1,NA,1
AC8RC,260,5A,45,2,NA,MI,15,Allegan Co ARC,5
ACØE,154,1D,26,2,NA,KS,1,NA,1
ACØMU,860,2A,55,2,KTØKT,CO,30,Denver North Stake,2
AD1L,1154,1E,443,2,NA,WMA,1,NA,1
AD1N,230,1C,40,2,NA,AZ,1,NA,1
AD5SR,154,1D,52,2,NA,OK,1,NA,1
AD5XR,236,1D,186,1,NA,MS,1,NA,1
AD6AF,78,1E,14,2,NA,LAX,1,NA,1
AD6IZ,882,2A,166,2,NA,LAX,15,Crescenta Valley RC / Glendale Em Aux Radio Service,2
AD6Q,828,2B2,134,2,NA,NC,2,NA,2
AD7AW,734,3A,42,2,NA,WWA,4,West Wash Med Svcs Emer Comm Dist-,3
AD7BF,342,1B2,46,2,NA,WWA,2,NA,1
AD7GU,90,1D,20,2,NA,SJV,1,NA,1
AD7IC,524,1A,137,2,NA,OR,3,Maxims Old Men,1
AD7MC,228,1D,35,2,NA,WWA,1,NA,1
AD7MQ,260,1E,53,2,NA,MT,1,NA,1
ADØCZ,670,2B2B,23,5,NA,MN,2,NA,2
ADØEN,276,2E,13,2,NA,IA,3,NA,2
AE2MS,70,1D,35,2,NA,WNY,1,NA,1
AE2NG,94,1D,22,2,NA,WNY,1,NA,1
AE5EE,1370,2F,32,5,NA,AR,2,NA,2
AE5GT,4062,1E,978,2,NA,STX,1,NA,1
AE5KA,390,1B1B,24,5,NA,OK,1,NA,1
AE5KJ,350,1C,100,2,NA,STX,1,NA,1
AE5MM,754,1E,151,2,NA,OK,1,NA,1
AE6C,3122,1A,658,2,NA,SV,4,Neurosa Gopher Munchers,1
AE6FD,702,2B2,176,2,NA,SJV,2,NA,2
AE7DW,165,1B1B,3,5,NA,AZ,1,NA,1
AE7WE,230,1E,90,2,NA,MS,1,NA,1
AE9U,1956,3A,532,2,NA,MI,18,Elkhart ARC,3
AF2C,2818,5F,507,2,NA,NFL,31,NA,5
AF4O,1505,1B1B,106,5,NA,TN,1,NA,1
AF5AW,982,4A,52,2,NA,AR,10,Miller Co. ARES,4
AF5B,2285,1E,222,5,NA,NTX,1,NA,1
AF5BZ,205,1E,105,1,NA,AR,1,NA,1
AF5FH,26,1D,8,2,NA,NM,1,NA,1
AG2J,2182,1E,533,2,NA,SNJ,1,NA,1
AG6AN,662,1D,296,2,NA,LAX,1,NA,1
AG6AU,2532,7A,520,2,NA,SV,34,NA,7
AG6IP,488,1B1,111,2,NA,SV,1,NA,1
AH6SZ,38,1D,19,2,NA,PAC,1,NA,1
AI4QR,800,1D,218,2,NA,AL,3,NA,1
AI5M,1472,2A,226,2,NA,STX,28,Sam Houston ARK,2
AJ4A,8306,6A,2704,2,NA,KY,18,Central KY ARS,6
AJ4BB,438,1B1,94,2,NA,SC,1,NA,1
AJ4EY,386,1E,68,2,NA,VA,1,NA,1
AJ4IR,1344,4F,565,2,NA,SFL,13,NA,4
AJ4UU,76,1B1,13,2,NA,AZ,1,NA,1
AJ5Q,648,2D,139,2,NA,OK,10,NA,2
AJØEB,152,1C,1,2,NA,NNY,1,NA,1
AK4BH,1215,1B1B,107,5,NA,SC,1,NA,1
AK4I,980,2AC,165,2,NA,GA,4,GREAT Club,2
AK4LZ,505,1B2B,37,5,NA,SFL,2,NA,1
AK4OH,438,1B1,94,2,NA,VA,1,NA,1
AK4QU,992,1E,248,2,NA,TN,1,NA,1
