call,final_score,class,total_qsos,power_multiplier,gota_call,sec,number_of_participants,club_name
AA1CA,1490,1E,144,5,NA,NH,1,NA
AA1PL,942,1B1,209,2,NA,ME,1,NA
AA2BJ,3418,1D,953,2,NA,EPA,2,NA
AA3B,9610,1E,2315,2,NA,EPA,1,NA
AA3CS,1658,1E,377,2,NA,MDC,1,NA
AA3KM,498,1E,37,2,NA,STX,1,NA
AA3TL,364,1A,91,2,NA,EPA,4,NA
AA4LR,208,1D,52,2,NA,GA,1,NA
AA4P,1490,2A,200,2,NA,GA,34,Colquitt Cty Ham Radio Soc
AA4TA,1728,5A,425,2,W4CHM,TN,8,CORE Group
AA5AR,6178,3AC,1507,2,N5NTI,AR,28,ARK of the AR Northwest
AA5B,6406,1B2,1539,2,NA,NM,2,NA
AA5BE,292,1D,121,2,NA,AR,1,NA
AA5CK,2900,1B1B,270,5,NA,OK,1,NA
AA5CO,320,1B1B,22,5,NA,OK,1,NA
AA5TB,2365,1AB,209,5,NA,NTX,6,Jacksonville Chiggers
AA5UY,596,1E,100,2,NA,LA,2,NA
AA6CV,6216,16A,1292,2,K6KY,SB,102,Conejo Valley ARC
AA6DP,274,1C,56,2,NA,LAX,1,NA
AA6EE,396,1D,99,2,NA,SDG,1,NA
AA7AD,650,1B1,50,2,NA,EWA,1,NA
AA7L,356,1D,99,2,NA,WWA,1,NA
AA8BV,3188,3A,929,2,WB8DC,OH,11,Not Quite Workable FD Group
AA8V,1244,1E,261,2,NA,MDC,1,NA
AA9UF,918,2E,142,2,NA,IL,2,NA
AAØMN,792,1A,145,2,NA,MN,8,MN ARTS
AAØNC,1092,3A,101,2,KL7QW,MO,10,NA
AAØTR,910,1E,67,5,NA,MN,1,NA
AB2YI,1424,1A,511,2,NA,WNY,7,NA
AB2ZO,750,1E,50,5,NA,ENY,1,NA
AB3CA,84,1D,17,2,NA,MDC,1,NA
AB4EL,1115,1B1B,100,5,NA,NC,1,NA
AB4KE,4146,5A,863,2,AD4GS,GA,40,LaGrange ARC
