call,gota_call,club_name,section,transmitters,class,power_source,final_score,total_qsos,total_cw_qsos,total_digital_qsos,total_phone_qsos,power_multiplier,bonus_points,number_of_participants
AA1AZ,NA,NA,CT,1,1D,C,80,15,0,0,15,2,0.5,1
AA1RB,NA,NA,VA,1,1B1B,B,770,71,30,3,38,5,2.5,1
AA2BJ,NA,NA,EPA,1,1D,C,2882,825,528,13,284,2,1.5,2
AA2GV,NA,NA,WNY,2,2AC,C,562,56,0,0,56,2,4.5,6
AA3B,NA,NA,EPA,1,1E,G,9498,2312,2312,0,0,2,2.5,1
AA3CS,NA,NA,MDC,1,1E,G,830,170,170,0,0,2,1.5,1
AA3E,NA,MCARES/RACES-EOC,EPA,7,7F,C,1164,164,43,0,121,2,7.5,1
AA4JI,NA,NA,TN,1,1B1B,B,4285,797,0,0,797,5,3,1
AA4MF,NA,NA,KY,1,1D,C,233,183,0,0,183,1,0.5,1
AA4NC,NA,No Will FD Group,NC,2,2A,G,8524,2588,1549,0,1039,2,2.5,5
AA5AZ,NA,NA,VA,1,1C,G,1090,470,0,0,470,2,1.5,5
AA5KC,NA,Las Moras ARC,STX,3,3A,B,1244,62,35,0,27,2,10.5,8
AA5TC,NA,NA,OK,1,1E,B,274,62,0,0,62,2,1.5,1
AA5VU,NA,NA,STX,1,1D,C,950,200,0,200,0,2,1.5,1
AA6AC,NA,NA,SB,1,1D,C,52,13,13,0,0,2,0,1
AA6CV,KK6FUT,Conejo Valley ARC,SB,18,18A,G,5976,951,418,144,389,2,29.5,82
AA6E,NA,NA,CT,1,1E,G,472,111,0,0,111,2,2.5,1
AA6FD,NA,Mountaintop Ops of No Cal,SCV,1,1AB,B,7180,649,597,0,52,5,9.5,5
AA7CR,NA,Columbia River DX Club,OR,2,2AC,C,1112,531,0,0,531,2,0.5,7
AA8V,NA,NA,MDC,1,1E,G,1498,312,312,0,0,2,2.5,1
AA9UF,NA,NA,IL,2,2E,G,994,161,0,161,0,2,3.5,2
AA0A,NA,NA,MO,1,1E,G,502,200,1,0,199,2,1,1
AA0RC,NA,Audrain Em  Comm,MO,2,2A,G,1244,132,0,5,127,2,9.7,26
AA0RR,NA,Warren ARS,IA,3,3A,G,848,92,0,47,45,2,5.7,15
AA0RW,NA,NA,MN,2,2A,G,1394,320,32,0,288,2,6.9,25
AB1WT,NA,NA,WMA,1,1D,C,158,54,0,0,54,2,0.5,1
AB3CV,NA,NA,MDC,1,1D,C,6,4,2,0,2,1,0,1
