call_does_not_include_checklogs,gota_call,club_name,section,number_of_transmitters,category,power_source,final_score,total_qsos,total_cw_qs_os,total_digital_qs_os,total_phone_qs_os,power_multiplier,bonus_points,number_of_participants
AA1K,NA,NA,DE,1,D,C,198,37,37,0,0,2,50,1
AA1PL,NA,NA,CT,2,B2B,B,845,80,55,0,25,5,170,2
AA1RB,NA,NA,VA,1,B1B,B,880,70,56,0,14,5,250,1
AA2BJ,NA,NA,EPA,1,D,C,3504,973,692,12,269,2,150,2
AA3B,NA,NA,EPA,2,E,G,12992,3644,2627,0,1017,2,450,2
AA3CS,NA,NA,MDC,1,D,C,886,209,209,0,0,2,50,1
AA3S,NA,NA,MDC,1,E,G,2914,692,690,0,2,2,150,1
AA4AK,NA,NA,ME,1,E,B,2788,535,494,40,1,2,650,1
AA4GT,NA,NA,SFL,1,D,C,106,33,20,0,13,2,0,1
AA4LR,NA,NA,GA,1,D,C,606,155,148,0,7,2,0,1
AA4MF,NA,NA,KY,1,D,C,271,221,0,0,221,1,50,1
AA4NC,NA,Still No Will FD Group,NC,3,A,G,11510,3549,1981,0,1568,2,450,6
AA4P,KC4RAG,NA,GA,2,A,G,1894,151,0,121,30,2,1350,15
AA5B,NA,NA,NM,2,B2,G,9092,2112,2109,0,3,2,650,2
AA5TB,NA,NA,NTX,1,B1B,B,1880,163,163,0,0,5,250,1
AA6AC,NA,NA,SB,1,D,C,32,8,8,0,0,2,0,1
AA6CV,K6IDS,Conejo Valley ARC,SB,15,A,G,5846,1079,397,122,560,2,2650,130
AA6FD,NA,Mountaintop Ops of NorCal,SCV,1,A,B,5430,1223,1062,0,161,2,860,4
AA6RM,NA,NA,ORG,1,D,C,56,3,0,0,3,2,50,1
AA6SF,NA,NA,SF,1,D,C,80,15,0,0,15,2,50,1
AA7CR,NA,Columbia River DX Club,OR,2,AC,C,681,631,0,0,631,1,50,5
AA7L,NA,NA,EWA,1,D,C,52,20,6,0,14,2,0,4
AA8BV,NA,NA,OH,1,D,C,472,124,112,0,12,2,0,1
AA8DN,NA,NA,OH,1,D,C,82,16,0,0,16,2,50,1
AA8MI,NA,NA,OH,1,E,B,1290,104,104,0,0,5,250,1
AA8V,NA,NA,MDC,1,E,G,1290,235,235,0,0,2,350,1
AA8VG,NA,NA,MI,1,E,B,212,31,0,0,31,2,150,1
AA9FQ,NA,NA,IL,1,E,B,164,7,0,0,7,2,150,1
AA9UF,NA,NA,IL,2,E,G,1586,309,0,309,0,2,350,2
AAØA,NA,NA,MO,1,D,C,714,357,0,0,357,2,0,1
AAØMN,NA,Minnesota AR Technical Soc,MN,1,AC,C,260,63,42,0,21,2,50,6
AAØRC,NA,NA,MO,1,AC,C,1086,311,0,7,304,2,450,8
AAØRW,NA,Hiawatha Valley ARC,MN,2,A,G,2276,542,116,0,426,2,960,25
AB1J,NA,NA,EMA,1,D,C,1358,335,243,76,16,2,50,1
AB1ZQ,NA,NA,VT,1,D,C,122,54,0,7,47,2,0,1
AB2MP,NA,NA,WNY,1,B2B,B,2580,226,220,0,6,5,350,2
AB2ZO,NA,NA,ENY,1,E,G,494,100,0,22,78,2,250,1
AB3YC,NA,NA,MDC,1,D,C,36,18,0,0,18,2,0,1
AB4EL,NA,NA,NC,1,E,B,920,77,77,0,0,5,150,1
AB4KE,NA,La Grange GA ARC,GA,5,A,B,2514,550,82,0,468,2,1250,25
AB4TT,NA,NA,GA,1,C,G,122,11,0,0,11,2,100,1
AB5J,N5ZPG,Frank Phillips Repeater Club,OK,3,A,G,2026,189,59,0,130,2,1530,16
AB5UE,NA,BARC,STX,5,A,G,1778,327,102,0,225,2,920,7
AB7AA,NA,NA,AZ,2,C,G,1698,287,0,287,0,2,550,2
AB7HP,NA,Hewlett Packard Boise ARC,ID,2,AC,C,999,706,0,43,663,1,250,12
AB7MP,NA,NA,EWA,1,D,C,330,70,70,0,0,2,50,1
AB7WP,NA,NA,AZ,1,D,C,94,22,0,0,22,2,50,1
AB8I,NA,Calhoun Co EOC,MI,4,F,G,4178,947,630,77,240,2,870,11
AB8OU,NA,NA,OH,1,D,C,124,32,5,0,27,2,50,1
AB8RC,NA,Old Guys Camping Out,OH,2,A,G,1114,429,0,3,426,2,250,4
AB8VE,NA,Dan Kulhanek,OH,1,AB,B,1275,224,0,1,223,5,150,3
AB8VV,NA,NA,MI,1,D,C,366,54,54,0,0,2,150,1
AB9CA,NA,NA,AL,1,B1,G,4254,1001,1001,0,0,2,250,1
AB9IO,NA,NA,WI,1,B1B,B,805,111,0,0,111,5,250,1
AB9JS,NA,NA,AZ,1,D,C,60,5,0,0,5,2,50,1
AB9YC,NA,Blazing Paddles Field Day Team,IL,1,A,G,6470,1447,1203,0,244,2,1170,4
ABØCD,NA,NA,CO,1,E,B,730,48,48,0,0,5,250,1
ABØPK,NA,NA,CO,1,B1,B,62,6,0,0,6,2,50,1
ABØTJ,NA,WCCC,CO,2,A,B,738,121,0,13,108,2,470,4
AC1L,KB1MSU,Franklin Co ARC,WMA,2,A,G,3934,974,618,0,356,2,750,23
AC2HJ,NA,NA,WNY,1,B1B,B,170,12,12,0,0,5,50,1
AC2KP,NA,NA,WNY,1,D,C,442,196,0,0,196,2,50,1
AC2OC,NA,NA,ENY,1,D,C,246,49,0,49,0,2,50,1
AC2RL,NA,NA,WNY,1,D,C,216,83,0,0,83,2,50,1
AC3V,NA,NA,EPA,2,E,B,1424,356,171,0,185,2,370,8
AC4RC,NA,Azalea Coast ARC,NC,2,A,G,982,66,0,0,66,2,850,10
AC6EE,NA,Tehachapi ARA,SJV,2,AC,C,740,132,0,3,129,2,470,29
AC6GR,NA,NA,LAX,1,C,B,104,15,12,0,3,2,50,1
AC6VA,NA,Veterans Administration Long Beach ARC,LAX,2,A,G,890,20,0,0,20,2,850,10
AC7A,NA,NA,AZ,1,B1B,B,1910,177,175,0,2,5,150,1
AC7CA,NA,NA,AZ,1,E,B,90,20,0,0,20,2,50,1
AC7CJ,NA,NA,EWA,1,B1,B,300,25,0,0,25,2,250,1
AC7MA,NA,NA,EWA,2,B2B,B,4110,366,366,0,0,5,450,2
AC7R,NA,Mercury Net,AZ,1,A,B,680,151,4,0,147,2,370,20
AC8NO,NA,NA,MI,1,D,C,62,31,0,0,31,2,0,1
AC8RC,W8RMN,Allegan Co ARC,MI,5,A,G,2474,436,0,76,360,2,1450,25
AC8S,NA,NA,MI,1,D,C,24,12,12,0,0,1,0,1
AC8U,NA,NA,MI,1,B1,B,530,140,0,0,140,2,250,1
AC9QW,NA,NA,WI,1,B1C,C,164,7,0,0,7,2,150,1
ACØMN,NA,NA,MN,1,D,C,1182,288,243,35,10,2,50,2
ACØQG,NA,NA,CO,2,A,B,498,46,0,28,18,2,350,3
ACØWL,NA,NA,MO,1,D,C,635,585,0,0,585,1,50,1
AD1T,NA,CCDX ARC,NH,5,A,G,2398,714,0,0,714,2,970,12
AD3Y,NA,NA,SNJ,1,E,G,184,42,25,0,17,2,50,1
AD4ET,NA,NA,NC,1,D,C,152,51,0,0,51,2,50,1
AD4OS,NA,NA,IA,1,A,G,758,150,144,0,6,2,170,3
AD4TJ,NA,NA,VA,1,D,C,246,49,0,49,0,2,50,1
AD6AF,NA,NA,LAX,1,E,B,64,7,0,0,7,2,50,1
AD6GE,NA,NA,ORG,1,D,C,62,20,0,11,9,2,0,1
AD6IZ,NA,Crescenta Valley RC / Glendale Em Aux Radio Service,LAX,2,A,B,1140,195,0,0,195,2,750,15
AD6Q,NA,NA,NC,2,B2,B,550,53,0,47,6,2,350,2
AD7BF,NA,NA,WWA,1,B2,B,372,40,21,0,19,2,250,2
AD7DD,NA,NA,EWA,1,B1,B,882,83,0,83,0,2,550,1
AD7KG,NA,NA,UT,1,B1,G,1866,480,378,0,102,2,150,1
AD7KI,NA,NA,OK,2,D,C,172,38,0,23,15,2,50,1
AD7LL,NA,NA,TN,1,D,C,194,72,0,0,72,2,50,1
AD7OY,NA,Lioncoln Co ARES/Great Basin Amateur,NV,2,F,C,1192,276,0,45,231,2,550,4
AD8J,NA,NA,NC,1,E,G,2922,719,717,0,2,2,50,1
AD9OV,AD9RR,Okaw Valley ARC,IL,3,A,G,5134,1075,637,0,438,2,1710,60
ADØBI,NA,NA,MO,1,B1B,B,1400,115,115,0,0,5,250,1
ADØDX,NA,NA,CO,1,B1,G,396,74,74,0,0,2,100,1
ADØH,NA,NA,IA,1,D,C,444,132,65,0,67,2,50,1
ADØRW,NA,NA,IA,1,E,B,2190,199,189,0,10,5,250,1
ADØWB,NA,NA,CO,1,B1B,B,360,22,0,0,22,5,250,1
AE1T,NA,NA,NH,1,D,C,306,64,64,0,0,2,50,1
AE2SS,NA,NA,WNY,1,D,C,48,12,0,12,0,2,0,1
AE3J,NA,NA,EPA,1,B2B,B,1720,117,117,0,0,5,550,2
AE5GT,NA,NA,STX,1,E,G,4318,1042,1042,0,0,2,150,1
AE5MM,NA,NA,OK,1,E,G,290,35,35,0,0,2,150,1
AE5ZX,NA,NA,NM,1,D,C,10,5,0,0,5,2,0,1
AE6C,NA,NA,SV,1,B2B,B,2080,193,193,0,0,5,150,2
AE6JB,NA,NA,OR,1,B1,B,452,51,0,0,51,2,350,1
AE7NR,NA,NA,KS,1,B2,B,4408,1106,721,152,233,2,450,2
AE7WE,NA,NA,OR,1,B2,G,128,39,0,0,39,2,50,2
AF2A,NA,Tompkins Co ARA,WNY,4,AC,C,2018,411,275,48,88,2,550,25
AF4I,NA,South Baldwin ARC,AL,2,A,G,694,22,0,0,22,2,650,24
AF4O,NA,NA,TN,1,B1B,B,1145,80,79,0,1,5,350,1
AF4WH,NA,NA,WCF,1,E,O,353,253,0,0,253,1,100,1
AF5OI,NA,NA,AR,2,B1,B,668,9,0,0,9,2,650,1
AF6GA,NA,NA,SF,1,B1B,B,1590,124,124,0,0,5,350,1
AF7HJ,NA,NA,UT,1,B1,G,344,97,0,0,97,2,150,1
AF7OS,NA,NA,AZ,1,E,B,186,18,0,0,18,2,150,1
AF9J,NA,NA,WI,1,E,B,600,45,45,0,0,5,150,1
AFØS,NA,Pikes Peak Radio Amateur Assn,CO,3,F,C,3226,656,498,74,84,2,770,15
AFØZ,NA,NA,MN,1,D,C,618,153,131,0,22,2,50,1
AG4BV,NA,NA,SFL,1,E,B,290,8,0,0,8,5,250,4
AG4P,NA,NA,TN,1,B1,B,840,225,170,0,55,2,50,1
AG4YL,NA,NA,GA,1,E,B,432,41,0,0,41,2,350,1
AG5BI,NA,NA,AR,1,E,B,72,11,0,0,11,2,50,1
AG6AU,NA,El Dorado Co ARC,SV,6,A,G,3576,864,178,91,595,2,1310,42
AG6YO,NA,NA,SCV,1,D,C,94,11,0,11,0,2,50,1
AG7GR,NA,NA,WWA,1,D,C,60,5,0,0,5,2,50,1
AH6AX,NA,NA,MDC,3,E,G,3060,712,618,0,94,2,400,6
AI2N,NA,NA,WNY,2,E,G,2780,738,527,0,211,2,250,4
AI2T (+AC2MZ),NA,NA,WNY,1,B2B,B,730,43,43,0,0,5,300,2
AI3KS,NA,NA,EPA,1,D,C,920,143,142,0,1,2,350,1
AI4BJ,NA,NA,KY,1,B1C,C,1728,392,347,0,45,2,250,1
AI5C,NA,NA,SF,1,B2,B,294,22,0,0,22,2,250,2
AI6DO,NA,NA,LAX,2,B1B,B,955,62,36,3,23,5,450,1
AI6F,NA,Cal Fire Volunteers In Prevention - SC Unit,SCV,2,A,G,686,18,0,0,18,2,650,5
AI6IN,NA,NA,SV,1,D,C,10,5,0,0,5,2,0,1
AI6LY,NA,NA,SCV,1,D,C,159,109,0,0,109,1,50,1
AI6OU,NA,NA,ORG,1,B1,B,62,6,0,0,6,2,50,1
AI6SX,NA,NA,SF,1,B1B,B,255,1,0,0,1,5,250,1
AI7H,NA,NA,ID,1,D,C,1426,319,319,0,0,2,150,1
AI8TA,NA,NA,OH,1,D,C,502,113,0,113,0,2,50,1
AI9F,NA,Clay Co Area ARC,IL,2,AC,C,776,47,16,0,31,2,650,30
AI9I,NA,NA,IL,1,C,G,598,137,112,0,25,2,100,1
AI9K,NA,NA,IL,1,D,C,460,115,115,0,0,2,0,1
AIØJ,NA,NA,CO,1,D,C,202,13,0,13,0,2,150,1
AJ4EY,NA,NA,VA,1,E,G,288,16,0,3,13,2,250,1
AJ4IR,NA,Indian RIver ARC,SFL,3,A,G,934,178,83,31,64,2,350,11
AJ4XP,NA,NA,NC,1,E,B,310,12,0,0,12,5,250,1
AJ5Q,NA,NA,OK,4,D,C,1076,228,76,59,93,2,350,15
AJØCM,NA,NA,MN,1,D,C,70,20,0,0,20,1,50,2
AK1P,NA,NA,NH,1,E,G,234,66,1,0,65,2,100,1
AK2U,NA,NA,WV,1,D,C,636,159,159,0,0,2,0,1
AK3G,NA,NA,WPA,1,D,C,256,103,0,0,103,2,50,1
AK4BH,NA,NA,SC,1,B1B,B,2505,256,195,0,61,5,250,1
AK7AT,NA,NA,ID,2,E,G,1416,254,95,134,25,2,450,2
AK7RS,NA,NA,ID,1,B1B,B,540,29,0,29,0,5,250,1
AK9D,NA,NA,KS,2,D,C,844,201,50,146,5,2,50,4
AKØMR,NA,NA,CO,1,D,C,62,3,3,0,0,2,50,1
AL7EK,NA,NA,KS,1,B1C,C,58,4,0,0,4,2,50,1
AL7LE,NA,Moosehorn ARC,AK,2,A,G,452,124,2,0,122,2,200,4
"CF2BS (VA2BS,op)",NA,NA,QC,1,D,C,38,19,0,0,19,2,0,1
CF3RAC,VE3JW,Ottawa OVMRC + OARC,ONE,2,A,B,2948,581,408,0,173,2,970,28
CF7MM,NA,NA,BC,2,E,B,1948,396,281,22,93,2,550,6
CG2CRO,NA,CRAO,QC,4,A,G,2646,455,249,39,167,2,1160,38
CG2ICU,NA,NA,QC,1,E,B,346,49,49,0,0,2,150,1
CG3BF,NA,NA,ONE,1,B1C,C,472,161,0,0,161,2,150,1
CG3LON,NA,London ARC,ONS,6,A,G,2302,460,143,23,294,2,1050,45
CG3NSR,NA,North Shore ARC Ont,GTA,4,A,G,2690,411,109,200,102,2,1250,30
CG3OKV,VE3OGP,South Halton ARES,GTA,4,A,G,1812,168,0,43,125,2,1390,12
CG3SDF,VE3SDF,St Mary's ARC,ONS,2,AC,C,682,66,0,0,66,2,550,3
CG5NN,NA,Regina ARA,SK,3,A,G,2964,590,440,27,123,2,850,19
CG7NOR,NA,North Okanagan Radio Amateur Club,BC,1,A,G,816,186,97,0,89,2,250,6
CO2KL,NA,NA,CO1,1,D,C,104,18,2,7,9,2,50,1
DK2CF,NA,NA,DL,1,E,B,274,31,31,0,0,2,150,1
K1AA,W1SE,Orlando ARC,NFL,10,AC,C,2518,540,370,24,146,2,650,43
K1AP,NA,NA,CT,1,C,G,334,117,0,0,117,2,100,1
K1ARD,NA,NA,ME,1,D,C,100,15,0,0,15,2,70,1
K1AUS,NA,NA,MT,1,D,C,156,53,0,0,53,2,50,1
K1B,K1DFQ,Contoocook Valley RC,NH,4,A,G,9750,3335,710,0,2625,2,1660,53
K1BCI,NA,CQ Radio / Wireless Ops of Winsted,CT,2,F,C,180,60,3,2,55,2,50,20
K1BUM,NA,Arizona Sun Bums ARC,AZ,4,A,G,1076,163,0,0,163,2,750,12
K1CCN,NA,Koomer Ridge Contesters,NH,2,AC,C,3160,914,591,0,323,2,150,4
K1CE,NA,NA,NFL,1,E,G,2630,601,572,17,12,2,250,2
K1DCT,NA,NA,CT,1,B1B,B,320,12,12,0,0,5,200,1
K1DFS,NA,NA,CT,1,D,C,92,21,0,0,21,2,50,1
K1DFT,NA,New England QRP Group,ME,1,AB,B,4775,483,452,0,31,5,100,3
K1DJ,NA,NA,EMA,1,D,C,2466,604,604,0,0,2,50,1
K1EEE,NA,NA,NH,1,E,G,2990,610,610,0,0,2,550,1
K1EME,KC1FZQ,Littleton Area Radio Klub,NH,2,A,G,2414,310,109,13,188,2,1550,25
K1FR,NA,NA,VA,1,D,C,96,24,24,0,0,2,0,1
K1FS,NA,Aroostook ARA,ME,3,A,G,1132,241,0,0,241,2,650,25
