call,gota_call,final_score,qst_class_plus,section,power_multiplier,club_name,number_of_participants,number_of_transmitters,power_source,total_cw_qs_os,total_digital_qs_os,total_phone_qs_os,total_qsos,bonus_points
AA1CA,NA,810,1D,NH,2,NA,1,1,C,190,0,0,190,50
AA1RB,NA,730,1B1B,VA,5,NA,1,1,B,58,0,0,58,150
AA2BJ,NA,3358,1D,EPA,2,NA,2,1,C,673,0,258,931,150
AA2Y,NA,400,1D,ENY,2,NA,1,1,C,100,0,0,100,0
AA3B,NA,12206,2E,EPA,2,NA,2,2,G,2574,0,780,3354,350
AA4AG,NA,1040,1A,VA,2,NA,5,1,B,0,0,165,165,710
AA4MF,NA,136,1D,KY,1,NA,1,1,C,0,0,86,86,50
AA4P,W4UCJ,2256,4F,GA,2,Colquitt Co. ARS & Thomasville ARC,29,4,C,5,131,96,232,1520
AA4RA,NA,94,1D,SC,2,NA,2,1,C,3,0,41,44,0
AA4RV,NA,2918,3F,NC,2,Franklin Co. (NC) ARC,34,3,C,210,70,374,654,1050
AA4WC,N4PSS,1914,3A,VA,2,Warren Co. CERT EmComm,9,3,G,0,10,242,252,1390
AA5AU,NA,636,1D,LA,1,NA,1,1,C,268,0,50,318,50
AA5TB,NA,700,1EB,NTX,5,NA,1,1,B,45,0,0,45,250
AA6AC,NA,8,1D,SB,2,NA,1,1,C,2,0,0,2,0
AA6CV,K6IDS,6018,20A,SB,2,Conejo Valley ARC,80,20,G,307,190,390,887,3250
AA6FD,NA,6230,1AB,SV,5,NA,3,1,B,536,8,48,592,550
AA6MU,NA,814,1B1,SJV,2,NA,1,1,G,147,0,28,175,170
AA6OC,NA,350,1EB,ORG,5,NA,1,1,B,20,0,0,20,150
AA7CR,NA,990,2AC,OR,1,Columbia River DX Club,4,2,C,0,0,940,940,50
AA8GP,NA,650,1E,OH,2,NA,1,1,G,0,67,116,183,150
AA9UF,NA,1284,2E,IL,2,NA,2,2,G,0,231,5,236,350
AAØCW,NA,234,1D,CO,2,NA,1,1,C,46,0,0,46,50
AAØRC,NA,1272,2A,MO,2,Audvain EmComm,8,2,G,0,68,90,158,820
AAØRW,NA,2274,2A,MN,2,Hiawatha Valley ARC,26,2,G,41,0,455,496,1200
AB1J,NA,1406,1D,EMA,2,NA,1,1,C,307,32,0,339,50
AB1OP,NA,60,1D,ME,2,NA,1,1,C,0,0,5,5,50
AB1ZQ,NA,356,1D,VT,2,NA,1,1,C,0,47,59,106,50
