call,gota_call,score,category,section,pwr_mult,club_name,participants,xmtrs,power_source,total_cw_qs_os,total_digital_qs_os,total_phone_qs_os,total_qs_os,bonus_points
AA1CA,NA,290,1D,NH,2,Port City ARC,1,1,C,60,0,0,60,50
AA1ES,NA,180,1E,NH,5,Contoocook Valley RC,1,1,B,0,0,6,6,150
AA1K,NA,8010,1E,DE,5,NA,1,1,B,786,0,0,786,150
AA1MA,NA,78,1D,EMA,2,Sturdy Mem Hospital ARC,1,1,C,0,7,0,7,50
AA1O,NA,450,1E,EMA,2,Police Amateur Radio Team of Westford,1,1,G,73,0,4,77,150
AA1SB,NA,1130,1E,NH,2,Port City ARC,1,1,G,245,0,0,245,150
AA1W,NA,472,1D,NH,2,NA,1,1,C,0,5,201,206,50
AA1WH,NA,554,1D,WMA,2,Hampden County Radio Assn,1,1,C,0,101,0,101,150
AA1XV,NA,2490,1D,CT,2,Greater Norwalk ARC,1,1,C,585,0,0,585,150
AA2BJ,NA,4196,1D,EPA,2,NA,2,1,C,808,27,343,1178,170
AA2CU,NA,386,1D,WNY,2,Utica ARC,1,1,C,0,84,0,84,50
AA2IL,NA,2838,2E,SDG,2,Ramona Outback ARS,1,2,G,277,319,2,598,450
AA2MA,NA,975,2AB,AL,5,Huntsville ARC,3,2,B,0,29,7,36,650
AA2MF,NA,2982,3D,WCF,2,Aardvark Wireless Group,1,3,C,0,708,0,708,150
AA2PR,NA,223,1D,WNY,1,Lancaster ARC,1,1,C,0,0,73,73,150
AA2VG,NA,650,1B1,NLI,2,Larkfield ARC,1,1,B,113,0,24,137,150
AA2ZW,NA,558,1D,WNY,2,Niagara Frontier Radiosport,1,1,C,127,0,0,127,50
AA3B,NA,11902,1E,EPA,2,Frankford RC,1,1,G,2913,0,0,2913,250
AA3C,NA,418,1B1,NTX,2,NA,1,1,G,0,0,134,134,150
AA3GM,NA,620,1B1B,WPA,5,NA,1,1,B,47,0,0,47,150
AA3K,NA,802,1B1,EPA,2,Warminster ARC,1,1,G,79,0,168,247,150
AA3LX,NA,1042,1D,WPA,2,Butler County (PA) ARA,1,1,C,155,90,6,251,50
AA3S,NA,4570,1D,MDC,2,W3AO Team,1,1,C,1130,0,0,1130,50
AA3SP,NA,136,1D,EPA,2,NA,1,1,C,0,0,43,43,50
AA3TL,NA,306,1B2,EPA,2,NA,2,1,G,35,0,58,93,50
AA3WB,NA,506,1E,EPA,2,Pottstown Area ARC,1,1,G,0,0,128,128,250
AA4AG,NA,282,1E,VA,2,Southern Peninsula Amateur Radio Klub,1,1,S,0,7,52,59,150
AA4AQ,NA,2704,2D,NFL,2,Northwest Florida ARC,2,2,C,593,0,141,734,50
AA4AV,NA,222,1D,VA,2,Southern Peninsula Amateur Radio Klub,1,1,C,0,0,86,86,50
AA4CP,NA,534,1D,SFL,2,Martin County ARA,1,1,C,0,71,0,71,250
AA4CS,NA,755,1B1B,NFL,5,NA,1,1,B,0,0,101,101,250
AA4DD,NA,1226,1D,TN,2,Bristol (TN) ARC,1,1,C,152,142,0,294,50
AA4FB,NA,454,3D,WCF,2,NA,1,3,C,0,100,2,102,50
AA4GA,NA,250,1D,GA,2,North Georgia QRP Club,1,1,C,50,0,0,50,50
AA4LR,NA,1210,1D,GA,2,NA,1,1,C,270,0,40,310,50
AA4N,NA,766,1E,TN,2,NA,1,1,B,154,0,0,154,150
AA4NP,NA,906,1D,SFL,2,NA,1,1,C,214,0,0,214,50
AA4P,NA,1030,4AC,GA,2,Thomasville ARC,8,4,C,40,123,64,227,250
AA4RA,NA,214,1D,SC,2,NA,1,1,C,22,0,38,60,50
AA4RP,NA,748,1D,GA,2,Ellijay ARS,1,1,C,0,174,1,175,50
AA4RV,NA,2794,4A,NC,2,Franklin County (NC) ARC,18,4,G,11,164,372,547,1350
AA4SS,NA,638,1D,VA,2,Franklin County (VA) ARC,1,1,C,0,147,0,147,50
AA4TI,NA,1053,1E,WCF,1,Tamiami ARC,1,1,G,400,0,3,403,250
AA4XU,NA,564,1D,WCF,2,Straight Key Century Club,1,1,C,66,62,1,129,50
AA4XZ,NA,448,1D,NFL,2,Lake Monroe ARS,1,1,C,62,0,0,62,200
AA5AH,NA,344,1D,NTX,2,NA,1,1,C,0,64,19,83,50
AA5CF,NA,178,1D,STX,2,San Antonio RC,1,1,C,31,0,2,33,50
AA5DE,NA,514,1D,STX,2,WCARC of TX,1,1,C,0,116,0,116,50
AA5GV,NA,264,2D,NTX,2,Cove Repeater Assn,2,2,C,0,0,107,107,50
AA5JC,NA,780,1D,AR,2,Faulkner County ARC,2,1,C,6,29,235,270,170
AA5JF,NA,1787,1D,GA,1,ARC of Augusta,4,1,C,572,1,451,1024,190
AA5KD,NA,1346,1D,OK,2,OCAPA,1,1,C,0,286,26,312,150
AA5NT,NA,98,1D,WCF,2,NA,1,1,C,0,0,24,24,50
AA5PR,NA,290,1D,NM,2,NA,1,1,C,54,0,12,66,50
AA5RN,NA,328,1D,NTX,2,NA,1,1,C,0,0,139,139,50
AA5TB,NA,1596,1D,NTX,2,DFW Contest Group,1,1,C,380,0,13,393,50
AA5TC,NA,204,1E,OK,2,NA,1,1,B,0,0,27,27,150
AA5UY,NA,196,1D,LA,2,Oarc ARC,1,1,C,5,0,13,18,150
AA5UZ,NA,162,1D,LA,2,Ozone ARC,1,1,C,5,0,46,51,50
AA5VE,NA,998,1B1,NTX,2,Four States ARC,1,1,G,212,0,0,212,150
AA5W,NA,170,1B1,STX,2,Bryan ARC,1,1,B,30,0,0,30,50
AA5Y,NA,851,1D,OR,1,Central Oregon Coast ARC,1,1,C,0,0,701,701,150
AA5ZT,NA,510,1E,OK,2,NA,1,1,G,90,0,0,90,150
AA6AM,NA,182,1D,EB,2,Benicia ARC,1,1,C,7,0,52,59,50
AA6BD,NA,576,1E,SF,2,Sonoma County Radio Amateurs,1,1,B,0,0,13,13,550
AA6GJ,NA,256,1E,ORG,2,Mountain Top ARA,1,1,B,0,24,5,29,150
AA6MR,NA,92,1D,WWA,2,Clark County (WA) ARC,2,1,C,0,0,21,21,50
AA6OC,NA,370,1E,SF,5,San Francisco RC,1,1,B,12,0,0,12,250
AA6PC,NA,882,1E,SDG,2,Ramona Outback ARS,1,1,B,208,0,0,208,50
AA6PZ,NA,420,1B1B,SCV,5,BayNet,1,1,B,0,0,54,54,150
AA6QI,NA,1094,2D,LAX,2,Pasadena RC,2,2,C,164,0,144,308,150
AA6RS,NA,166,1D,SV,2,Sierra Foothills ARC,1,1,C,0,0,58,58,50
AA6VX,NA,122,1D,SB,2,NA,1,1,C,18,0,0,18,50
AA6W,NA,450,1D,SCV,2,San Benito County ARA,9,1,C,32,0,36,68,250
AA7CF,NA,152,1E,AZ,2,Northern Arizona DX Assn,1,1,B,0,0,26,26,100
AA7DK,NA,158,1D,AZ,2,Northern Arizona DX Assn,20,1,C,0,0,54,54,50
AA7JB,NA,824,1E,AZ,2,Cochise ARA,1,1,G,0,107,23,130,350
AA7TC,NA,320,1B1B,OR,5,McMinnville ARC,1,1,B,0,5,4,9,250
AA7VE,NA,270,2D,MT,2,Yellowstone RC,1,2,C,0,0,10,10,250
AA8DN,NA,282,1D,OH,2,NA,1,1,C,0,58,0,58,50
AA8GP,NA,1058,1D,OH,2,NA,1,1,C,0,244,16,260,50
AA8IK,NA,566,1D,MI,2,Hazel Park ARC,1,1,C,0,129,0,129,50
AA8OY,NA,2700,1B1B,OH,5,Lake County ARA,1,1,B,203,52,0,255,150
AA8P,NA,358,1C,OH,2,NA,1,1,B,52,0,0,52,150
AA8R,NA,938,1D,WCF,2,Florida Contest Group,1,1,C,0,222,0,222,50
AA8RK,NA,152,1D,MI,2,Arrow Communications Assn,1,1,C,0,0,51,51,50
AA8TA,NA,398,1D,OH,2,Delaware ARA,1,1,C,62,0,0,62,150
AA8UU,NA,316,1D,MI,2,Hazel Park ARC,1,1,C,0,26,31,57,150
AA8XX,NA,802,1E,OH,2,West Chester ARA,1,1,G,0,0,326,326,150
AA9DU,NA,610,1D,IN,2,Mizphah Shrine Radio Unit,1,1,C,54,82,8,144,50
AA9F,NA,992,1D,IL,2,Chicago Suburban Radio Assn,1,1,C,209,0,3,212,150
AA9HB,NA,312,1D,IN,2,Indy United ARC,1,1,C,0,0,131,131,50
AA9IK,NA,550,1E,WI,2,Tri County ARC (WI),1,1,B,100,0,0,100,150
AA9K,NA,3782,1D,TN,2,Williamson County ARES,1,1,C,933,0,0,933,50
