call,gota_call,final_score,class,section,power_multiplier,club_name,number_of_participants,transmitters,power_source,total_cw_qsos,total_digital_qsos,total_phone_qsos,total_qsos,bonus_points
AA1AO,NA,444,1D,OR,2,McMinnville ARC,1,1,C,0,98,1,99,50
AA1EA,NA,294,1D,EMA,2,NA,1,1,C,0,0,22,22,250
AA1K,NA,1590,1D,DE,2,Delmarva DX Assn.,1,1,C,385,0,0,385,50
AA1PL,NA,1220,1B1B,RI,5,NA,1,1,B,100,0,14,114,150
AA2AD,NA,90,1D,WPA,2,NA,3,1,C,1,0,18,19,50
AA2BB,NA,270,1B2,SC,2,Charleston ARS,2,1,C,50,0,10,60,50
AA2BG,NA,446,1E,WNY,2,NA,1,1,B,0,43,62,105,150
AA2BJ,NA,5012,1D,NNY,2,NA,2,1,C,961,2,505,1468,150
AA2MA,NA,800,2B2B,AL,5,Huntsville ARC,2,2,B,0,25,0,25,550
AA3B,NA,10978,1E,EPA,2,NA,1,1,G,2682,0,0,2682,250
AA3CS,NA,868,1D,OH,2,NA,1,1,C,203,0,3,206,50
AA3K,NA,1010,1E,EPA,2,Warminster ARC,1,1,G,75,0,230,305,250
AA3KM,NA,210,1E,STX,2,NA,1,1,B,0,40,0,40,50
AA3OB,NA,74,1D,EPA,2,NA,1,1,C,0,0,12,12,50
AA3S,NA,566,1D,MDC,2,W3AO PVRC,1,1,C,129,0,0,129,50
AA3SP,NA,330,1E,EPA,2,NA,1,1,O,0,45,0,45,150
AA3TK,NA,250,1D,WPA,2,NA,1,1,C,0,50,0,50,50
AA3TL,NA,376,1A,EPA,2,NA,3,1,G,25,0,63,88,150
AA4AK,NA,1194,1D,ME,2,Merrymeeting ARA,1,1,C,211,0,0,211,350
AA4CS,NA,608,1B1,SFL,2,NA,1,1,B,0,0,129,129,350
AA4DD,NA,1354,1D,TN,2,Bristol ARC,1,1,C,54,272,0,326,50
AA4FB,NA,414,1D,WCF,2,NA,1,1,C,0,91,0,91,50
AA4JM,NA,56,1D,SFL,2,NA,1,1,C,0,0,3,3,50
AA4RV,NY4NC,5504,6A,NC,2,Franklin Co. (NC) ARC,25,6,G,0,286,1235,1521,1890
AA4WC,N4PSS,1318,1A,VA,2,Warren Co. EmComm Group,7,1,G,0,45,104,149,930
AA4WW,NA,1354,1D,KY,2,Kentucky Contest Group,1,1,C,326,0,0,326,50
AA5AH,NA,148,1D,NTX,2,NA,1,1,C,0,14,21,35,50
AA5DE,NA,1074,1D,STX,2,WCARC-TX,1,1,C,0,256,0,256,50
AA5DF,NA,540,1D,STX,2,Austin ARC,1,1,C,0,100,45,145,50
AA5KC,NA,1858,3E,STX,2,Las Moras ARC,7,3,G,222,0,60,282,850
AA5OY,NA,146,1D,LA,2,NA,1,1,C,24,0,0,24,50
AA5TB,NA,2490,1E,NTX,5,DFW Contest Group,1,1,S,224,0,0,224,250
AA5UY,NA,192,1D,LA,2,NA,1,1,C,1,0,19,20,150
AA5UZ,NA,254,1D,LA,2,NA,1,1,C,16,0,20,36,150
AA5VE,NA,1780,1B1B,NTX,5,NA,1,1,B,173,0,0,173,50
AA5W,NA,470,1B1,STX,2,Bryan ARC,1,1,C,105,0,0,105,50
AA6AM,NA,284,1D,EB,2,Benicia ARC,1,1,C,0,0,117,117,50
AA6BD,NA,376,1E,SF,2,Sonoma Co. Radio Amateurs,1,1,B,0,0,13,13,350
AA6CV,NA,3820,14A,SB,2,Conejo Valley ARC,22,14,G,229,280,267,776,1250
AA6DX,NA,166,1E,SF,2,NA,1,1,B,0,0,8,8,150
AA6PZ,NA,182,1D,SCV,2,Foothills ARS (CA),1,1,C,16,0,34,50,50
AA6QI,NA,1706,3E,LAX,2,Pasadena RC/ JPLARC/ CITARC,2,3,G,170,9,120,299,750
AA6RS,NA,154,1D,SV,2,Sierra Foothills ARC,1,1,C,1,0,50,51,50
AA6VX,NA,522,1D,SB,2,NA,1,1,C,113,0,10,123,50
AA7OO,NA,90,1D,AZ,2,MARCA,1,1,C,0,10,0,10,50
AA8BV,NA,1262,1D,OH,2,Not Quite Workable Contest Club,1,1,C,291,0,24,315,50
AA8IA,NA,1190,1D,OH,2,Mad River RC,1,1,C,219,0,132,351,50
AA8KY,NA,624,1D,OH,2,NA,1,1,C,83,0,121,204,50
