call,gota_call,final_score,class,section,power_multiplier,club_name,number_of_participants,transmitters,power_source,total_cw_qsos,total_digital_qsos,total_phone_qsos,total_qsos,bonus_points,checklog_y_n,x17
2E0FHM,NA,178,1D,DX,2,NA,1,1,C,0,32,0,32,50,NA,NA
6D5C,NA,186,1E,DX,2,NA,1,1,B,0,9,0,9,150,NA,NA
AA0B,NA,1680,1AB,MO,5,Central MO Radio Assn.,3,1,B,143,0,0,143,250,NA,NA
AA0K,NA,202,1D,CO,2,NA,1,1,C,0,13,0,13,150,NA,NA
AA0KW,NA,592,1D,MS,2,NA,1,1,C,134,0,3,137,50,NA,NA
AA0RC,NA,1068,2A,MO,2,Audrain EmComm,12,2,G,0,45,19,64,850,NA,NA
AA0RW,NA,1284,2A,MN,2,Hiawatha Valley ARC,21,2,G,71,0,215,286,570,NA,NA
AA0VE,NA,610,1E,MO,5,St. Louis QRP Soc.,1,1,B,26,0,0,26,350,NA,NA
AA0YY,NA,206,1D,MO,2,NA,1,1,C,39,0,0,39,50,NA,NA
AA1CX,NA,288,1C,ME,2,Pine State ARC,1,1,G,50,0,19,69,50,NA,NA
AA1IT,NA,74,1D,NH,2,Port City ARC,1,1,C,3,0,6,9,50,NA,NA
AA2BG,NA,718,1B1C,ENY,2,Something Awful ARS,1,1,C,0,167,0,167,50,NA,NA
AA2BJ,NA,4654,1D,ENY,2,NA,2,1,C,921,103,204,1228,150,NA,NA
AA2GS,NA,1190,1E,KY,5,NA,1,1,B,94,0,0,94,250,NA,NA
AA2MA,NA,562,1D,AL,2,NA,1,1,C,64,64,0,128,50,NA,NA
AA2TR,NA,390,1E,NLI,5,Larkfield ARC,1,1,B,0,14,0,14,250,NA,NA
AA2YG,NA,166,1D,WNY,2,NA,1,1,C,0,0,58,58,50,NA,NA
AA3B,NA,10286,1E,EPA,2,NA,1,1,G,2509,0,0,2509,250,NA,NA
AA3CS,NA,1006,1D,OH,2,Silvercreek ARA,1,1,C,214,0,0,214,150,NA,NA
AA3OB,NA,62,1D,EPA,2,NA,1,1,C,0,0,6,6,50,NA,NA
AA3SP,NA,650,1E,EPA,2,NA,1,1,B,0,125,0,125,150,NA,NA
AA3TL,NA,170,1A,EPA,2,NA,4,1,G,9,0,42,51,50,NA,NA
AA4DD,NA,874,1D,TN,2,Bristol ARC,1,1,C,0,206,0,206,50,NA,NA
AA4HV,NA,1950,1B1B,TN,5,NA,1,1,B,0,180,0,180,150,NA,NA
AA4JW,NA,1168,1B1,SC,2,NA,1,1,B,0,110,9,119,710,NA,NA
AA4LR,NA,450,1D,GA,2,NA,1,1,C,99,0,2,101,50,NA,NA
AA4NP,NA,478,1D,SFL,2,NA,1,1,C,0,107,0,107,50,NA,NA
AA4RV (+KO4HUL),KO4HUL,10957,6A,NC,2,Franklin Co. (NC) ARC,38,6,G,1213,476,1138,2827,1925,NA,NA
AA4WC,NA,624,1A,VA,2,Warren Co. EmComm Grp.,5,1,S,0,0,37,37,550,NA,NA
AA5AH,NA,208,1D,NTX,2,Richardson Wireless Klub,1,1,C,0,18,43,61,50,NA,NA
AA5HK,NA,584,1B1,NM,2,NA,1,1,B,72,0,23,95,250,NA,NA
AA5KC,NA,876,4A,STX,2,Las Moras ARC,5,4,G,39,0,35,74,650,NA,NA
AA5OY,NA,450,1E,LA,5,NA,1,1,S,30,0,0,30,150,NA,NA
AA5RL,NA,174,1E,STX,2,NA,1,1,B,0,6,0,6,150,NA,NA
AA5RN,NA,678,1D,NTX,2,NA,1,1,C,0,0,314,314,50,NA,NA
AA5RO,NA,2682,8A,STX,2,San Antonio RC,41,8,G,85,94,128,307,1710,NA,NA
AA5TA,NA,66,1D,OH,2,NA,1,1,C,4,0,0,4,50,NA,NA
