call,gota_call,final_score,class,section,power_multiplier,club_name,number_of_participants,transmitters,power_source,total_cw_qsos,total_digital_qsos,total_phone_qsos,total_qsos,bonus_points,checklog_y_n
AA0RC,NA,1692,2A,MO,2,Audrain EmComm,19,2,B,0,82,257,339,850,NA
AA0RW,NA,1686,2A,MN,2,Hiawatha Valley ARC,25,2,G,6,0,256,262,1150,NA
AA0VE,NA,365,1E,MO,5,St. Louis QRP Soc.,1,1,B,11,0,1,12,250,NA
AA1NK,NA,466,1D,EMA,2,Billerica ARS,1,1,C,100,4,0,104,50,NA
AA1UC,NA,322,1D,EMA,2,Barnstable ARC,1,1,C,20,0,96,116,50,NA
AA2BG,NA,1262,1B1,WNY,2,NA,1,1,B,0,278,0,278,150,NA
AA2BJ,NA,4176,1D,NNY,2,NA,2,1,C,825,119,125,1069,150,NA
AA3B,NA,9406,1E,EPA,2,NA,1,1,G,2289,0,0,2289,250,NA
AA3CS,NA,868,1D,OH,2,Silvercreek ARA,1,1,C,204,0,1,205,50,NA
AA3EE,NA,370,1E,WPA,2,NA,1,1,B,55,0,0,55,150,NA
AA3HD,NA,450,1B1C,ME,2,York Co. ARC,1,1,C,0,0,200,200,50,NA
AA3SP,NA,466,1E,EPA,2,NA,1,1,B,0,79,0,79,150,NA
AA4DD,NA,986,1D,TN,2,Bristol ARC,1,1,C,65,169,0,234,50,NA
AA4FB,NA,390,1D,WCF,2,NA,1,1,C,0,85,0,85,50,NA
AA4G,NA,78,1D,NFL,2,Orange Park ARC,1,1,C,0,0,14,14,50,NA
AA4GA,NA,3198,1D,GA,2,South East Contest Club,1,1,C,787,0,0,787,50,NA
AA4HV,NA,1550,1D,TN,2,NA,1,1,C,0,375,0,375,50,NA
AA4LR,NA,1086,2E,GA,2,NA,1,2,G,163,23,46,232,250,NA
AA4NC,NA,4150,1E,NC,5,NC Contesters,1,1,B,400,0,0,400,150,NA
AA4NO,NA,1222,1D,NC,2,NA,1,1,C,293,0,0,293,50,NA
AA4RV,KQ4YUT,12964,6A,NC,2,Franklin Co. (NC) ARC,69,6,G,1971,284,907,3162,2130,NA
AA4S,KY4LAW,930,3AC,KY,2,Anderson RC,6,3,C,47,96,24,167,310,NA
