CALL,FINAL SCORE,CLASS,TOTAL QSOS,Power Multiplier,GOTA CALL,SEC,Number of Participants,CLUB NAME
8P6UK,296,1F,123,2,NA,DX,1,NA
AA1LL,100,1B1C,25,2,NA,ME,1,NA
AA1O,2370,1E,232,5,NA,EMA,1,NA
AA1PL,1295,1B1B,114,5,NA,RI,1,NA
AA2BJ,2732,1D,744,2,NA,EPA,2,NA
AA2GV,358,2AC,154,2,NA,WNY,10,NA
AA2JZ,672,1D,190,2,NA,NFL,1,NA
AA3B,9698,1E,2362,2,NA,EPA,1,NA
AA3DC,1162,3A,316,2,NA,MDC,4,Capital City ARS
AA3RG,1826,3A,587,2,NA,EPA,40,AARG / LVSRA
AA4GA,4740,1B1B,449,5,NA,GA,1,NA
AA4NJ,9424,6A,3042,2,NA,KY,17,Central Ky ARS
AA4Q,3550,1B1B,340,5,NA,AZ,1,NA
AA4TA,1982,7A,364,2,NA,TN,15,CORE Group
AA5AR,600,2F,140,2,N5NTI,AR,17,ARKAN
AA5CK,2320,1B1B,216,5,NA,OK,1,NA
AA5UY,184,1E,21,2,NA,LA,1,NA
AA5UZ,184,1E,21,2,NA,LA,1,NA
AA5VU,572,1D,131,2,NA,STX,1,NA
AA6CV,3540,9A,626,2,NA,SB,47,Conejo Valley ARC
AA6DP,2414,1C,555,2,NA,LAX,2,NA
AA6PW,10064,2A,2705,2,NA,ORG,5,NA
AA8BV,4110,3A,1280,2,NA,OH,8,Not Quite Workable FD Group
AA8IA,1728,1D,489,2,NA,OH,1,NA
AA9UF,1262,2E,254,2,NA,IL,3,NA
AAØK,102,1D,26,2,NA,CO,1,NA
AAØNC,1220,3A,282,2,NA,MO,13,Northside ARC
AAØQZ,240,1B1,20,2,NA,WWA,1,NA
AB1BW,282,1D,70,2,NA,CT,1,NA
AB1HD,58,1D,2,2,NA,EMA,1,NA
AB2DE,1628,1E,701,2,NA,NNJ,2,NA
AB2JT,888,3A,284,2,NA,WNY,6,Hill Billy Hams
AB4EL,1550,1B1B,140,5,NA,NC,1,NA
AB4KE,3060,6AC,853,2,AB4GA,GA,69,LaGrange ARC
AB4SF,244,1E,97,2,NA,VA,1,NA
AB4YK,158,1E,4,2,NA,VA,1,NA
AB5ER,7800,2F,2124,2,N5QS,AR,51,NA
AB5JR,526,1E,138,2,NA,NM,1,NA
AB5VP,790,3AC,253,2,NA,NTX,6,Trinity Trails Field Day
AB6MV,1802,2A,444,2,KJ6JKT,ORG,54,Moreno Valley ARA
AB6S,994,1B2B,422,2,NA,EB,2,NA
AB7HP,246,1AC,96,1,NA,ID,9,Hewlett Packard Boise ARC
AB8I,1466,2F,430,2,NA,MI,8,NA
AB8RX,364,1E,107,2,NA,MI,1,NA
AB8VV,742,3AC,177,2,NA,MI,3,NA
AB9CD,2278,2A,463,2,AB9PN,WI,3,Milwaukee RAC
AB9OS/W9,94,1D,32,1,NA,MT,1,NA
AB9WO,160,1B1B,1,5,NA,WI,1,NA
ABØIM,1708,2A,461,2,NA,CO,12,South Park Marauders
ABØYM,272,1C,47,2,NA,CO,1,NA
AC1J,976,1E,350,2,NA,NH,1,NA
AC1L,2296,2A,531,2,KB1MSU,WMA,25,Franklin Co ARC
AC2BH,176,1E,13,2,NA,NNJ,1,NA
AC2C,1260,1B1B,111,5,NA,MDC,1,NA
AC2GE,86,1D,18,2,NA,NNY,1,NA
AC2Y,140,1D,45,2,NA,CO,1,NA
AC3F,390,1D,10,2,NA,MDC,1,NA
AC3P,602,1D,69,2,NA,MDC,1,NA
AC3V,2165,1B1B,205,5,NA,EPA,1,NA
AC4IR,1936,3F,408,2,NA,SFL,12,NA
AC4RF,470,1E,110,2,NA,NC,3,NA
AC5BX,466,1E,79,2,NA,NM,1,NA
AC5CW,662,1D,153,2,NA,LA,1,NA
AC5O,1126,1D,1076,1,NA,LA,1,NA
AC5PW,1568,2A,239,2,NA,LA,17,North Rapides RC
AC6P,1608,2A,320,2,NA,SCV,14,UCSC ARC
AC6TU,166,1D,29,2,NA,LAX,1,NA
AC7A,2350,1B1B,225,5,NA,AZ,1,NA
AC7CJ,550,1B1B,50,2,NA,EWA,1,NA
AC7FT,546,1A,84,2,NA,OR,3,AAEXTEK
AC8RC,996,3A,125,2,NA,MI,12,Allegan Co ARC
AC8ZX,124,1D,37,2,NA,MI,1,NA
ACØBH,1146,1D,274,2,NA,MO,1,NA
ACØFQ,354,1B2,102,2,NA,CO,2,NA
ACØPP,220,1D,85,2,NA,MO,1,NA
ACØPR,850,1B1B,50,5,NA,ND,1,NA
ACØVC,300,1E,100,2,NA,CO,1,NA
AD1T,3374,4A,878,2,W1WWW,NH,12,CCDX ARC
AD4CS,224,1E,87,2,NA,SFL,2,NA
AD4Z,1238,1E,296,2,NA,SFL,1,NA
AD5MD,407,1D,357,1,NA,STX,1,NA
AD5XR,241,1D,190,1,NA,MS,1,NA
AD6AF,84,1C,17,2,NA,LAX,1,NA
AD6IZ,888,2A,157,2,KE6PFV,LAX,30,Crescenta Valley ARC /Glendale Em AuxiRadio Serv
AD7AN,308,1E,40,2,NA,MT,1,NA
AD7AW,596,3A,73,2,NA,WWA,3,Dist. 5 WWA Medical Services Em Comm
AD7DD,690,1B1B,51,2,NA,EWA,1,NA
AD7L,1030,1B1B,78,5,NA,OR,1,NA
AD7MC,58,1E,4,2,NA,WWA,1,NA
AD7T,298,1E,74,2,NA,WWA,1,NA
AD7XV,278,1E,58,2,NA,WWA,2,NA
AD9L,1114,2A,90,2,W9GRS,IL,18,NA
AE4VQ,100,1E,5,5,NA,KY,1,NA
AE5EE,1200,2F,28,5,NA,AR,10,NA
AE5KJ,234,1C,42,2,NA,STX,1,NA
AE5TF,612,1D,241,2,NA,AR,19,NA
AE5XB,158,1E,29,2,NA,NTX,1,NA
AE6C,4478,1A,997,2,NA,SV,3,Neurosa Gopher Munchers
AE6N,750,1B1B,45,5,NA,AZ,1,NA
AE6NN,202,3D,17,2,NA,LAX,3,NA
AE6SF,56,1D,3,2,NA,SF,1,NA
AE6ZV,2134,2A,655,2,KI6QDH,SB,11,Beach Boys ARC
AE7HS,496,1B1B,73,2,NA,ID,1,NA
AF2A,1342,3AC,349,2,NA,WNY,6,Tompkins Co ARC
AF2C,2474,5F,402,2,NA,NFL,37,NA
AF4I,1844,2A,481,2,NA,AL,20,NA
AF4O,315,1B1B,28,5,NA,TN,1,NA
AF4OX,3520,1E,331,5,NA,SC,1,NA
AF5Q,926,1C,106,2,NA,OK,1,NA
AF6IF,336,1D,81,2,NA,SCV,1,NA
AF6NV,856,3A,53,2,NA,ORG,8,Redlands Amateurs
AF6VG,60,1D,5,2,NA,LAX,1,NA
AG3BI,280,1B1B,15,2,NA,MDC,1,NA
AG4F,2464,3A,511,2,NA,GA,3,Senoia ARC
AG4V,1115,1E,1015,1,NA,TN,2,NA
AG6AN,242,1D,86,2,NA,LAX,1,NA
AG6AU,2784,9A,902,2,NA,SV,30,El Dorado Cty ARC
AG6DI,182,1D,33,2,NA,LAX,1,NA
AG6EP,370,1D,129,2,NA,SV,3,NA
AG6V,58,1D,2,2,NA,SF,1,NA
AH6JD,290,1B1B,20,2,NA,PAC,1,NA
AH6RR,240,1D,61,2,NA,PAC,1,NA
AH6V,790,1B1B,59,5,NA,PAC,1,NA
AI2T,1010,1B2B,71,5,NA,WNY,2,NA
AI3G,60,1D,15,2,NA,DE,1,NA
AI4BJ,600,1B1C,139,2,NA,KY,1,NA
AI4RA,632,1E,133,2,NA,AL,1,NA
AI5M,4962,1A,1263,2,NA,STX,25,Sam Houston AR Klub
AI6K,310,1B1B,130,2,NA,SJV,1,NA
AJ4EY,404,1E,65,2,NA,VA,2,NA
AJ4HK,46,1D,23,2,NA,NC,1,NA
AJ4MJ,154,1E,37,2,NA,NC,1,NA
AJ4UX,158,2D,54,2,NA,NC,2,NA
AK4BH,590,1B1B,70,5,NA,SC,1,NA
AK6D,426,1D,188,2,NA,ORG,2,NA
AK7O,258,1D,52,2,NA,UT,1,NA
AK9D,6154,4A,1702,2,WGØTA,MO,27,Dog Hollow Contest Group
AL9A,1244,1E,252,2,NA,AK,1,NA
CO6CBF,535,1E,15,5,NA,DX,1,NA
K1A,6734,3A,1810,2,W1EXP,EMA,24,Barnstable ARC
K1AA,4128,6A,788,2,NA,NFL,31,Orlando ARC
K1AU,612,2A,64,2,NA,EMA,9,Nantucket ARA
K1AVR,1572,2A,291,2,NA,NH,5,Androscoggin Valley RC
