CALL,GOTA Call,FINAL SCORE,Category,Section,Power Multiplier,Club Name,Participants,Transmitters,Power Source,TOTAL CW QSOs,TOTAL DIGITAL QSOs,TOTAL PHONE QSOs,TOTAL QSOs,BONUS POINTS,Checklog Y/N
AA1EA,NA,410,1E,EMA,2,NA,1,1,B,0,0,30,30,350,NA
AA2BG,NA,1658,1E,WNY,2,Something Awful ARS,1,1,B,0,374,6,380,150,NA
AA2BJ,NA,4160,1D,NNY,2,NA,2,1,C,834,0,337,1171,150,NA
AA2GF,NA,310,1D,WNY,2,Niagara Frontier Radiosport,1,1,C,45,0,40,85,50,NA
AA2IL,NA,2300,2E,SDG,2,Southern CA Contest Club,1,2,B,343,117,5,465,450,NA
AA3B,NA,10990,1E,EPA,2,NA,1,1,G,2685,0,0,2685,250,NA
AA3CS,NA,790,1D,OH,2,NA,1,1,C,185,0,0,185,50,NA
AA3HD,NA,72,1B1,ME,2,NA,1,1,O,0,0,11,11,50,NA
AA3N,NA,118,1D,NC,2,Raleigh ARS,1,1,C,0,0,34,34,50,NA
AA3SP,NA,726,1D,EPA,2,NA,1,1,C,0,169,0,169,50,NA
AA3TL,NA,390,1A,EPA,2,NA,3,1,G,25,0,40,65,210,NA
AA4DD,NA,854,1D,TN,2,Bristol ARC,1,1,C,72,129,0,201,50,NA
AA4FB,NA,478,1D,WCF,2,NA,1,1,C,0,107,0,107,50,NA
AA4GA,NA,1820,1B1B,GA,5,South East Contest Club,1,1,B,167,0,0,167,150,NA
AA4JW,NA,166,1D,SC,2,York Co. ARS,1,1,C,0,15,28,43,50,NA
AA4LR,NA,778,1D,GA,2,South East Contest Club,1,1,C,158,0,48,206,50,NA
AA4ME,NA,350,1D,WCF,2,Highlands Co. ARC,1,1,C,0,25,0,25,250,NA
AA4NP,NA,658,1D,SFL,2,NA,1,1,C,0,152,0,152,50,NA
AA4P,NA,1814,3AC,GA,2,Thomasville GA ARC,9,3,C,0,223,86,309,750,NA
AA4RV,KN4RZD,7630,6A,NC,2,Franklin Co. (NC) ARC,25,6,G,475,429,1147,2051,1720,NA
AA4WW,NA,1118,1D,KY,2,Kentucky Contest Grp.,1,1,C,266,0,2,268,50,NA
AA5AD,NA,630,1B1B,AR,5,NA,1,1,B,28,0,0,28,350,NA
AA5AH,NA,130,1D,NTX,2,NA,1,1,C,0,14,12,26,50,NA
AA5H,NA,1952,1D,OK,2,South Canadian ARS,1,1,C,0,450,51,501,50,NA
AA5KC,NA,818,3E,STX,2,Las Moras ARC,5,3,G,23,0,38,61,650,NA
AA5OY,NA,170,1D,LA,2,NA,1,1,C,30,0,0,30,50,NA
AA5RN,NA,756,1D,NTX,2,NA,1,1,C,0,0,353,353,50,NA
AA5TA,NA,74,1D,OH,2,NA,1,1,C,6,0,0,6,50,NA
AA5TB,NA,1550,1B1B,NTX,5,DFW Contest Grp.,1,1,B,120,0,0,120,350,NA
AA5VE,NA,2020,1B1B,NTX,5,NA,1,1,B,187,0,0,187,150,NA
AA5ZT,NA,182,1D,OK,2,NA,1,1,C,0,33,0,33,50,NA
AA6CV,K6IDS,5134,17A,SB,2,Conejo Valley ARC,22,17,G,303,177,62,542,3090,NA
AA6GD,NA,378,1D,AZ,2,Cochise ARA,1,1,C,82,0,0,82,50,NA
AA6MK,NA,170,1D,EB,2,Hayward Radio Club,1,1,C,30,0,0,30,50,NA
AA6QI,NA,1262,3E,LAX,2,Pasadena RC/JPLARC/CITARC,5,3,G,46,0,84,130,910,NA
AA6X,NA,236,1E,AZ,2,NA,3,1,B,10,0,3,13,190,NA
AA7GS,NA,726,1D,MT,2,West Valley ARC,1,1,C,0,0,338,338,50,NA
AA7JB,NA,560,1D,AZ,2,Cochise ARA,1,1,C,0,100,5,105,150,NA
AA8IA,NA,1166,1D,OH,2,Steubenville-Weirton ARC,1,1,C,165,114,0,279,50,NA
AA8IK,NA,266,1D,MI,2,NA,1,1,C,0,54,0,54,50,NA
AA8KY,NA,170,1D,OH,2,NA,1,1,C,0,30,0,30,50,NA
AA8R,NA,106,1D,WCF,2,Florida Contest Grp.,1,1,C,0,14,0,14,50,NA
AA8SW,NA,1462,1D,OH,2,OH-KY-IN ARS,1,1,C,0,353,0,353,50,NA
AA8UL,NA,1046,1D,WV,2,NA,2,1,C,192,0,114,306,50,NA
AA8VG,NA,410,1E,MI,5,NA,1,1,B,0,26,0,26,150,NA
AA9F,NA,154,1D,IL,2,Chicago Suburban Radio Assn.,1,1,C,26,0,0,26,50,NA
AA9RK,NA,306,1D,WI,2,West Allis Radio Amateur Club,1,1,C,37,2,0,39,150,NA
AA9UF,NA,418,1D,IL,2,NA,2,1,C,0,67,0,67,150,Y
AA0AJ,NA,478,1D,MN,2,NA,1,1,C,94,0,26,120,50,NA
AA0JE,NA,90,1D,TN,2,Smoky Mountain ARC,1,1,C,0,0,20,20,50,NA
