Call,GOTA CALL,FINAL SCORE,Category,Section,Power Multiplier,CLUB NAME,Participants,Transmitters,Power Source,TOTAL CW QSOs,TOTAL DIGITAL QSOs,TOTAL PHONE QSOs,TOTAL QSOs,BONUS POINTS
4M1W,NA,704,1D,DX,2,NA,1,1,C,0,163,1,164,50
9A3YT,NA,450,1D,DX,2,RADIO CLUB KVARNER RIJEKA,1,1,C,100,0,0,100,50
AA0AJ,NA,898,1D,MN,2,NA,1,1,C,200,0,24,224,50
AA0RC,NA,1818,2A,MO,2,Audrain Emergency Comms.,18,2,G,0,204,26,230,950
AA0RW,NA,1358,2A,MN,2,Hiawatha Valley ARC,20,2,G,0,0,344,344,670
AA1EA,NA,286,1D,EMA,2,NA,1,1,C,1,0,16,17,250
AA1ES,NA,138,1D,NH,2,NA,1,1,C,0,22,0,22,50
AA1NK,NA,74,1D,EMA,2,Billerica ARS,1,1,C,4,2,0,6,50
"AA1RC (KN4NEH, N4BFR)",NA,346,1B2,GA,2,American RC,2,1,B,0,0,48,48,250
AA1UC,NA,206,1D,EMA,2,Barnstable ARC,1,1,C,39,0,0,39,50
AA2BG,NA,1262,1E,WNY,2,NA,1,1,B,0,276,4,280,150
AA2BJ,NA,4052,1D,ENY,2,NA,2,1,C,836,0,279,1115,150
AA2GS,NA,890,1E,KY,5,NA,1,1,B,74,0,0,74,150
AA2IL,NA,3216,2E,SDG,2,Southern CA Contest Club,1,2,B,575,90,53,718,450
AA3C,NA,162,1D,NTX,2,Richardson Wireless Klub,1,1,C,0,0,56,56,50
AA3CS,NA,852,1D,OH,2,NA,1,1,C,196,0,9,205,50
AA3R,NA,606,1D,DE,2,Frankford RC,1,1,C,118,0,42,160,50
AA3SP,NA,578,1E,EPA,2,NA,1,1,G,0,107,0,107,150
AA3TL,NA,230,1A,EPA,2,NA,3,1,G,15,0,60,75,50
AA4FB,NA,258,1D,WCF,2,NA,1,1,C,0,52,0,52,50
AA4G,NA,74,1D,NFL,2,Orange Park ARC,1,1,C,0,0,12,12,50
AA4LR,NA,764,2D,GA,2,NA,1,2,C,144,12,45,201,50
AA4NP,NA,562,1D,SFL,2,Florida Contest Grp.,1,1,C,49,79,0,128,50
AA4RV (+KO4HUL),KO4HUL,9668,6A,NC,2,Franklin Co. (NC) ARC,30,6,G,791,486,1280,2557,2000
AA5AH,NA,196,1D,NTX,2,Richardson Wireless Klub,1,1,C,0,31,11,42,50
AA5DE,NA,1214,1E,STX,2,Williamson Co. (TX) ARC,1,1,G,0,266,0,266,150
AA5KC,NA,998,3A,STX,2,Las Moras ARC,4,3,G,34,0,6,40,850
AA5PR,NA,158,1E,NM,2,NA,1,1,B,0,0,4,4,150
AA5RN,NA,534,1D,NTX,2,NA,1,1,C,0,0,242,242,50
AA5TA,NA,1090,1D,OH,2,Delaware ARA,1,1,C,235,0,0,235,150
AA5TB,NA,1990,1E,NTX,5,DFW Contest Grp.,1,1,S,184,0,0,184,150
AA5UY,NA,166,1E,LA,2,NA,1,1,B,0,0,8,8,150
AA5UZ,NA,278,1E,LA,2,NA,1,1,B,0,0,14,14,250
AA5W,NA,490,1B1C,STX,2,Bryan ARC,1,1,C,110,0,0,110,50
AA6BD,NA,172,1B1,TN,2,NA,1,1,B,0,5,1,6,150
AA6CV,NA,8208,18A,SB,2,Conejo Valley ARC,50,18,G,689,398,355,1442,3150
AA6FD,NA,5792,1A,CO,2,Mountaintop Operators,4,1,B,1118,145,145,1408,450
AA6IO,NA,302,1D,LAX,2,NA,1,1,C,56,0,14,70,50
AA6MK,NA,354,1D,EB,2,Hayward RC,1,1,C,0,76,0,76,50
AA6QI,NA,1880,2E,LAX,2,CITARC/JPLARC/PRC/SPARC,2,2,B,240,19,47,306,750
AA7YG,NA,590,1D,MT,2,NA,1,1,C,0,135,0,135,50
AA8CQ,NA,206,1D,MI,2,Superior Contest Club,1,1,C,0,0,68,68,70
AA8IA,NA,228,1D,OH,2,Steubenville-Weirton ARC,1,1,C,35,0,19,54,50
AA8MI,NA,1590,1B1B,OH,5,NA,1,1,B,134,0,0,134,250
AA8SW,NA,594,1D,OH,2,OH-KY-IN ARS,1,1,C,0,136,0,136,50
AA8TA,NA,546,1D,OH,2,Great Lakes CWops Club,1,1,C,124,0,0,124,50
AA9F,NA,330,1D,IL,2,Chicago Suburban Radio Assn.,1,1,C,70,0,0,70,50
AA9H,NA,4146,1D,IN,2,NA,1,1,C,1024,0,0,1024,50
AA9RK,NA,290,1E,WI,2,NA,1,1,B,10,0,0,10,250
AA9UF,NA,746,3A,IL,2,Illinois Cornfield ARC,3,3,G,0,99,0,99,350
AB0R,NA,296,1E,MN,2,NA,1,1,B,0,0,73,73,150
AB0RX,NA,1728,2B1,MI,2,NA,1,2,G,227,15,205,447,350
AB0TX,NA,4326,1E,KS,2,NA,1,1,G,847,28,338,1213,150
AB0YM,NA,318,1C,CO,2,Grand Mesa Contesters of Colorado,1,1,G,0,42,0,42,150
AB1HD,NA,330,1E,EMA,5,PART of Westford,1,1,B,0,28,0,28,50
AB1XK,NA,360,1D,EMA,2,Cape Ann ARA,1,1,C,13,31,17,61,150
AB2WZ,NA,212,1D,AL,2,NA,1,1,C,0,0,81,81,50
AB4BA,NA,330,1E,CO,2,Parker Radio Assn.,1,1,B,25,0,40,65,150
AB4NH,NA,1702,1D,TN,2,NA,1,1,C,0,413,0,413,50
AB4QL,NA,1740,1AB,AL,5,Dekalb Co. ARC,7,1,B,129,0,0,129,450
AB4WL,NA,454,1D,AL,2,NA,1,1,C,101,0,0,101,50
AB4YI,NA,814,1D,WCF,2,St. Petersburg ARC,1,1,C,0,191,0,191,50
AB5TN,NA,250,1D,NTX,2,Lucas ARC/Allen Wylie Lucas ARC,1,1,C,50,0,0,50,50
AB5UE,NA,2260,4A,STX,2,Boerne ARC,4,4,G,104,45,132,281,1400
AB5XM,NA,158,1D,STX,2,NA,1,1,C,27,0,0,27,50
AB6MV,NA,3038,3A,ORG,2,Moreno Valley ARA,31,3,G,417,150,105,672,560
AB7HP,NA,3462,5A,ID,2,HPBARC,20,5,G,0,463,280,743,1050
AB8DF,NA,1150,1E,MI,5,Michigan QRP Club,1,1,B,100,0,0,100,150
AB8DS,NA,100,1D,MI,2,NA,1,1,C,0,0,25,25,50
AB8I,NA,702,1F,MI,2,Calhoun (MI) Skywarn,13,1,G,0,0,116,116,470
AB8MO,NA,522,2E,OH,2,Silvercreek ARA,1,2,B,0,118,0,118,50
AB8OU,NA,910,1D,OH,2,Mad River RC,1,1,C,215,0,0,215,50
AB8WW,NA,458,1D,WV,2,Tri-State ARA,1,1,C,0,102,0,102,50
AB9BZ,NA,850,1B1B,IL,5,The American Legion Post 33 ARC,1,1,B,50,0,0,50,350
AB9CA,NA,2238,1B1,IN,2,NA,1,1,G,497,0,0,497,250
AB9EK,NA,180,1B1,WI,2,NA,1,1,B,0,0,65,65,50
AB9JK,NA,52,1D,IN,2,Tri State ARS,1,1,C,0,0,1,1,50
AB9M,NA,286,1D,IL,2,Central Illinois RC,1,1,C,0,59,0,59,50
AB9YC,NA,7436,1A,IL,2,Blazing Paddles FD Team,10,1,G,1401,115,1,1517,1370
AC0E,NA,450,4D,KS,2,Sand Hills ARC,1,4,C,100,0,0,100,50
AC0EC,NA,2754,3A,IA,2,Muscatine ARC,15,3,G,0,425,22,447,1010
AC0WZ,NA,310,1E,MO,5,NA,1,1,B,0,16,0,16,150
AC1BB,NA,590,1E,IL,5,NA,1,1,B,34,0,0,34,250
AC1FS,NA,70,1D,EPA,2,NA,1,1,C,0,5,0,5,50
AC1K,NA,190,1D,CT,2,Hop River RC,1,1,C,0,35,0,35,50
AC1KY,NA,470,1E,EMA,5,Framingham ARA,1,1,B,42,0,0,42,50
AC1L,NA,2500,2AB,WMA,5,Franklin Co. (MA) ARC,12,2,B,136,19,0,155,950
AC1MT,NA,82,1D,EMA,2,Sci-Tech ARS,1,1,C,0,0,16,16,50
AC1O,NA,222,1D,WMA,2,NA,1,1,C,0,43,0,43,50
AC1PI,NA,298,1D,NH,2,NA,1,1,C,0,0,114,114,70
AC1PK,NA,462,1D,NH,2,NA,1,1,C,0,103,0,103,50
AC2KV,NA,112,1D,ENY,2,NA,1,1,C,0,0,31,31,50
AC2N,NA,280,1E,NFL,2,NA,1,1,B,0,0,65,65,150
AC2TM,NA,58,1D,ENY,2,NA,1,1,C,0,0,4,4,50
AC2XC,NA,1346,1E,WNY,2,NA,1,1,B,0,243,112,355,150
AC2YD,NA,1598,1D,NNJ,2,David Sarnoff ARC,1,1,C,362,0,0,362,150
AC2ZU,NA,292,1D,SNJ,2,Jersey Shore ARS,1,1,C,0,0,121,121,50
AC2ZZ,NA,232,1D,NNJ,2,Tri County Radio Assn.,1,1,C,0,37,17,54,50
AC3HT,NA,606,1D,EPA,2,NA,1,1,C,2,0,274,276,50
AC3MB,NA,336,1E,EPA,2,NA,1,1,B,1,7,77,85,150
AC4PQ,NA,242,1E,GA,2,NA,1,1,G,0,48,0,48,50
AC4RC (+WE4GUN),WE4GUN,2876,3AC,NC,2,Azalea Coast ARC,21,3,C,145,121,406,672,1000
AC4UK,NA,218,1D,VA,2,Woodbridge Wireless ARC,1,1,C,0,42,0,42,50
AC5TF,NA,116,1D,TN,2,Clarksville Amateur Transmitting Soc.,1,1,C,0,0,33,33,50
AC6CZ,NA,62,1D,SDG,2,NA,1,1,C,0,3,0,3,50
AC6DF,NA,900,2E,WWA,5,Olympia ARS,1,2,B,0,35,0,35,550
AC6EE,NA,2388,4A,SJV,2,Tehachapi ARA,20,4,G,113,76,291,480,1050
AC6MM,NA,280,1E,EB,2,South Bay ARA,1,1,B,0,0,15,15,250
AC6NT,NA,2280,1B1B,TN,5,NA,1,1,B,203,0,0,203,250
AC6PJ,NA,560,1D,SV,2,NA,1,1,C,0,127,1,128,50
AC7A,NA,1170,1B1B,WWA,5,NA,1,1,B,92,0,0,92,250
AC7CJ,NA,102,1D,EWA,2,NA,1,1,C,0,0,26,26,50
AC7FF,NA,450,1B1B,AZ,5,NA,1,1,B,40,0,0,40,50
AC7R,NA,378,2A,AZ,2,Mercury Net,4,2,B,0,0,14,14,350
AC7S,NA,588,1D,OR,2,NA,1,1,C,0,0,269,269,50
AC7SR,NA,860,1B1B,WWA,5,Chehalis Valley ARS,1,1,B,0,41,0,41,450
AC7UP,NA,238,1B1,WWA,2,Chehalis Valley ARS,1,1,B,0,22,0,22,150
AC8NE,NA,126,1D,NC,2,BRARC,1,1,C,0,19,0,19,50
AC8NP,NA,218,1D,OH,2,Seneca RC,1,1,C,0,42,0,42,50
AC8NW,NA,1270,1D,OH,2,Cuyahoga ARS,1,1,C,0,305,0,305,50
AC8QX,NA,716,1B2,MI,2,NA,2,1,B,0,0,233,233,250
AC8RC,NA,1976,4A,MI,2,Allegan Co. ARC,10,4,G,0,95,223,318,1150
AC9GI,NA,126,1D,WI,2,NA,1,1,C,0,0,38,38,50
AC9HP,NA,710,6D,IN,2,NA,1,6,C,0,165,0,165,50
AC9NL,NA,58,1D,WI,2,NA,1,1,C,0,0,4,4,50
AC9TO,NA,254,1E,WI,2,NA,1,1,B,0,0,52,52,150
AC9VM,NA,440,1E,IN,5,NA,1,1,B,0,19,0,19,250
AC9XS,NA,248,1D,IN,2,Ft. Wayne RC,1,1,C,47,0,0,47,60
AD0H,NA,60,1C,IA,2,NA,1,1,B,0,0,5,5,50
AD0IM,NA,158,1D,KS,2,NA,1,1,C,21,6,0,27,50
AD0LS,NA,102,1D,NE,2,Ak Sar Ben ARC,1,1,C,0,0,26,26,50
